211,"105 Route de Genech",,"yes","59830","CYSOING",29,,
212,"211 rue Demesmay",,"yes","59830","CYSOING",2,,
213,"346 Avenue Ladreyt",,"yes","59830","CYSOING",,,
214,"83 rue Roger Salengro",,"yes","59830","CYSOING",13,,
215,"1 rue Duysburgh",,"yes","59220","DENAIN",14,,
216,"10 rue Guy Naturel",,"yes","59220","DENAIN",29,,
217,"14 RUE DU MARECHAL LECLERC",,"yes","59220","DENAIN",29,,
218,"59 Rue Desandrouins",,"yes","59220","DENAIN",29,,
219,"10 rue du Château",,"yes","62240","DESVRES",27,,
220,"2 rue Zéphirin Gengembre",,"yes","62460","DIVION",2,,
221,"6 Place des Martyrs",,"yes","62460","DIVION",2,,
222,"197 Place du Barlet",,"yes","59500","DOUAI",2,,
223,"22 rue Jean de Gouy",,"yes","59500","DOUAI",28,,
224,"25 Boulevard de la République",,"yes","59500","DOUAI",19,,
225,"262 Place du Barlet",,"yes","59500","DOUAI",14,,
226,"265 rue de Paris",,"yes","59500","DOUAI",2,,
227,"3 rue de Valenciennes",,"yes","59500","DOUAI",29,,
228,"313 rue de Flers",,"yes","59500","DOUAI",28,,
229,"45 rue Saint-Thomas",,"yes","59500","DOUAI",29,,
230,"56 rue Saint Vaast",,"yes","59500","DOUAI",29,,
231,"68 rue Lambrecht",,"yes","59500","DOUAI",19,,
232,"93 rue de la Tour de Bourgogne",,"yes","59500","DOUAI",29,,
234,"101 Avenue de la République",,"yes","59282","DOUCHY LES MINES",28,,
235,"13 Avenue Julien Renard",,"yes","59282","DOUCHY LES MINES",28,,
236,"3 rue Pasteur",,"yes","59282","DOUCHY LES MINES",28,,
237,"33/1 rue Paul Eluard",,"yes","59282","DOUCHY LES MINES",29,,
238,"8 rue gambetta",,"yes","62119","DOURGES",29,,
239,"47 rue Jean Jaurès",,"yes","62138","DOUVRIN",29,,
240,"1 rue David d'Angers",,"yes","59140","DUNKERQUE",10,,
241,"10 Place de la République",,"yes","59140","DUNKERQUE",28,,
242,"10 rue David d'Angers",,"yes","59140","DUNKERQUE",28,,
243,"127 Avenue de la Mer",,"yes","59240","DUNKERQUE",28,,
244,"1317 Avenue de Rosendaël",,"yes","59140","DUNKERQUE",28,,
245,"20 rue du Docteur Louis Lemaire",,"yes","59140","DUNKERQUE",28,,
246,"24 rue de l Amiral RONARCH",,"yes","59140","DUNKERQUE",28,,
247,"24 rue du Maréchal French",,"yes","59140","DUNKERQUE",10,,
248,"28 rue Thiers",,"yes","59140","DUNKERQUE",28,,
249,"29 rue de Bourgogne",,"yes","59140","DUNKERQUE",2,,
250,"31 Rue de Bourgogne",,"yes","59140","DUNKERQUE",28,,
251,"31 rue de Valenciennes",,"yes","59240","DUNKERQUE",10,,
252,"47 Avenue du Casino",,"yes","59240","DUNKERQUE",28,,
253,"5 Place Charles Valentin",,"yes","59140","DUNKERQUE",28,,
254,"50 rue Henri Terquem",,"yes","59140","DUNKERQUE",28,,
255,"58 Avenue Gaspard Malo",,"yes","59240","DUNKERQUE",2,,
256,"58 rue des Poilus",,"yes","59240","DUNKERQUE",28,,
257,"7 Place des Martyrs de la Résistance",,"yes","59240","DUNKERQUE",28,,
258,"74 rue Poincaré",,"yes","59140","DUNKERQUE",28,,
259,"754 Boulevard de la République",,"yes","59240","DUNKERQUE",28,,
260,"96 Av. de la Mer Malo-Les-Bains",,"yes","59240","DUNKERQUE",,,
261," 3 Rue Lavoisier","Résidence Lavoisier","yes","59140","DUNKERQUE",,,
262,"72 rue Charles Ferrand",,"yes","62300","ELEU DIT LEAUWETTE",2,,
263,"65 Chaussée Brunehaut",,"yes","59530","ENGLEFONTAINE",28,,
264,"26 rue Jean Jaurès",,"yes","59710","ENNEVELIN",29,,
265,"3 rue des Tisserands"," Les Bords de la Lys Bât A","yes","59193","ERQUINGHEM LYS",29,,
266,"394 rue Vaillant",,"yes","59171","ERRE HORNAING",29,,
267,"12 Place Bergerot",,"yes","59470","ESQUELBECQ",1,,
268,"122 Avenue Bernard Chochoy",,"yes","62380","ESQUERDES",4,,
269,"13 Rue du Président Kennedy",,"yes","59940","ESTAIRES",2,,
270,"3 place Montmorency",,"yes","59940","ESTAIRES",2,,
271,"30 Ter rue de Lille",,"yes","59940","ESTAIRES",2,,
272,"4 rue Emile Roche",,"yes","59940","ESTAIRES",2,,
273,"Avenue Haute Picardie",,"yes","80200","ESTREES DENIECOURT",27,,
274,"17 rue Désiré Deboffe",,"yes","62630","ETAPLES",2,,
275,"29 rue de Montreuil",,"yes","62630","ETAPLES",27,,
276,"31 rue de Montreuil",,"yes","62630","ETAPLES",27,,
277,"4 rue Gustave Vassal",,"yes","62630","ETAPLES",27,,
278,"49 rue St Pierre"," Pôle Santé des Cronquelets","yes","62630","ETAPLES",2,,
279,"68 Boulevard de l'Impératrice ","BP 112","yes","62630","ETAPLES",27,,
280,"21 rue de Kouffra",,"yes","59155","FACHES THUMESNIL",29,,
281,"88 rue Carnot",,"yes","59155","FACHES THUMESNIL",13,,
282,"1 rue Edmond Guillaume",,"yes","59300","FAMARS",28,,
283,"480 Avenue Roland Huguet",,"yes","62560","FAUQUEMBERGUES",4,,
284,"170 rue Jules Domise",,"yes","59247","FECHAIN",29,,
285,"24 rue de la République",,"yes","59750","FEIGNIES",14,,
286,"98 rue de la République",,"yes","59750","FEIGNIES",17,,
287,"2 rue Jules Guesde",,"yes","59179","FENAIN",29,,
288,"27 rue Heureuse",,"yes","59610","FERON",17,,
289,"1040 Avenue Georges Clémenceau",,"yes","59680","FERRIERE LA GRANDE",29,,
290,"21 rue Salengro",,"yes","59128","FLERS EN ESCREBIEUX",29,,
291,"107 rue du HEM",,"yes","59148","FLINES LEZ RACHES",2,,
292,"170 Boulevard des Alliés",,"yes","59148","FLINES LEZ RACHES",29,,
293,"25 Avenue du Cateau"," BP 90048","yes","59550","FONTAINE AU BOIS",29,,
294,"71 rue Principale",,"yes","59510","FOREST SUR MARQUE",13,,
295,"17 rue Alexandre Bernard",,"yes","62740","FOUQUIERES LES LENS",29,,
296,"1399 rue Faidherbe",,"yes","59134","FOURNES EN WEPPES",29,,
297,"18 rue d'Armentières",,"yes","59236","FRELINGHIEN",16,,
298,"8 Place Vaillant Couturier",,"yes","59970","FRESNES SUR ESCAUT",27,,
299,"19 rue de Doullens",,"yes","62270","FREVENT",27,,
300,"106 rue Nationale",,"yes","59254","GHYVELDE",28,,
301,"15 rue Désiré Ringot",,"yes","59147","GONDECOURT",13,,
302,"78 rue Nationale",,"yes","59147","GONDECOURT",23,,
303,"4 rue de Provence",,"yes","59760","GRANDE SYNTHE",28,,
304,"Rue Reaumur","Résidence Reaumur","yes","59760","GRANDE SYNTHE",28,,
305,"Rue Pierre Loti",,"yes","59760","GRANDE SYNTHE",28,,
306,"Rue de Lorraine",,"yes","59153","GRAND-FORT-PHILIPPE",,,
307,"10 rue de Calais",,"yes","59820","GRAVELINES",28,,
308,"2 rue de la République",,"yes","59820","GRAVELINES",28,,
309,"40 bis rue Emile Zola",,"yes","62160","GRENAY",2,,
310,"Rue Julien Hapiot",,"yes","62160","GRENAY",14,,
311,"28 rue Sidney Bown",,"yes","62340","GUINES",27,,
312,"9 Av.du Camp du Drap d'Or",,"yes","62340","GUINES",27,,
313,"9 rue du Maréchal Joffre",,"yes","62340","GUINES",22,,
314,"2 RUE LESAGE",,"yes","62940","HAILLICOURT",19,,
315,"21 avenue du Pays à Part",,"yes","62940","HAILLICOURT",2,,
316,"15 rue Roger Salengro",,"yes","62138","HAISNES",2,,
317,"1 rue Emile Zola",,"yes","59320","HALLENNES LEZ HAUBOURDIN",,,
318,"270 rue des Bourreliers",,"yes","59320","HALLENNES LEZ HAUBOURDIN",29,,
319,"63 rue du Général de Gaulle",,"yes","59320","HALLENNES LEZ HAUBOURDIN",23,,
320,"2 F Allée des Glaïeuls",,"yes","59250","HALLUIN",2,,
321,"7 rue de l'Abbé Bonpain",,"yes","59250","HALLUIN",29,,
322,"20 Chemin du Bois",,"yes","62440","HARNES",29,,
323,"5 Bis rue Anatole France",,"yes","59178","HASNON",14,,
324,"193 rue Sadi Carnot",,"yes","59320","HAUBOURDIN",2,,
